År,Månednr,Ukenr,Dato,Ukedag,Selskapnr,Selskapnavn,Kundekategori_kd,Kundenr,Postnummer,Fylke,Rutenr,Parent Skift ID,Kjøreskift ID,Antall leveranser,Antall leveranser dagligvare,Antall leveranser SSH/service,Antall leveranser andre,Antall kunder,Antall leveranser i tidsvindu,Antall leveranser < 30 min før tidsvindu,Antall leveranser etter tidsvindu,Antall leveranser før tidsvindu,Leveringsvindu fra,Leveringsvindu til,Start Skanning,Start Levering,Stopp Levering,Antall dager for leveringen,Planlagt leveringstid (min),Leveringstid (min),Tidsforbruk kunde (min) pr.m3,Levert volum,Levert volum (m3),Volum Frukt og grønt,Volum Frukt og grønt - Egenprodusert,Volum Frukt og grønt - Ekstern Transitt,Volum Tørr,Volum Kjøl,Volum Frys,Vekt (kg),Leveringspresisjon utgående %,Leveringspresisjon før og i tidsvindu < 30 min før tidsvindu,Antall lastbærere skannet inn,Antall lastbærere skannet av,Antall lastbærere,Skannet inn på bil %,Skannet ut av bil %,Drivstofftype,Gyldig regnr flg,Ressursnavn (bil),Temperatur på bil (frys),Temperatur på bil (kjøl),KJEDESTYRING,FLESLAND_KATEGORI,delivery_delay_minutes
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,347369.0,5531.0,Rogaland,2139,5555054.0,5555055.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 07:00:00,2025-04-22 12:00:00,2025-04-22 10:04:45,2025-04-22 10:04:19,2025-04-22 10:30:39,0.0,27.466666666666665,26.33333333333333,2.947747313219741,8933.3754,8.933375400000001,0.0,0.0,0.0,4341.1516,2011.3848,2580.839,3174.646,1.0,1.0,12.0,12.0,12.0,1.0,1.0,GASS,Ja,GA13088,-19.0,2.0,,Eksterne grossister,-1.1333333333333364
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,347369.0,5531.0,Rogaland,5133,5566244.0,5566245.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 07:00:00,2025-04-25 12:00:00,2025-04-25 07:03:51,2025-04-25 07:02:50,2025-04-25 07:16:17,0.0,20.45,13.45,2.417906936074352,5562.6624,5.5626624,0.0,0.0,0.0,3548.4456,2014.2168,0.0,1932.014,1.0,1.0,7.0,7.0,7.0,1.0,1.0,DIESEL,Ja,RL39182,,2.0,,Eksterne grossister,-7.0
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,356220.0,5528.0,Rogaland,2139,5555054.0,5555055.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 07:00:00,2025-04-22 12:00:00,2025-04-22 10:36:22,2025-04-22 10:36:09,2025-04-22 11:06:23,0.0,39.81666666666667,30.23333333333333,7.494893927914591,4033.8574,4.0338574,0.0,0.0,0.0,3271.1496,762.7078,0.0,1844.322,1.0,1.0,7.0,7.0,7.0,1.0,1.0,GASS,Ja,GA13088,,2.0,,Eksterne grossister,-9.58333333333334
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,496612.0,4051.0,Rogaland,2153,5555092.0,5555093.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 07:00:00,2025-04-22 12:00:00,2025-04-22 07:44:48,2025-04-22 07:43:25,2025-04-22 08:11:48,0.0,36.63333333333333,28.383333333333333,3.4024248952364804,8342.0896,8.3420896,0.0,0.0,0.0,3691.7608,1833.0858,2817.243,3000.088,1.0,1.0,13.0,13.0,13.0,1.0,1.0,GASS,Ja,GA12366,-21.0,4.0,,Eksterne grossister,-8.25
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,496612.0,4051.0,Rogaland,5120,5566354.0,5566355.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 07:00:00,2025-04-25 13:00:00,2025-04-25 07:31:16,2025-04-25 07:29:34,2025-04-25 07:45:16,0.0,28.85,15.7,4.056776473011661,3870.0678,3.8700678,0.0,0.0,0.0,2124.62,925.7908,819.657,1380.513,1.0,1.0,6.0,6.0,6.0,1.0,1.0,DIESEL,Ja,RK89397,-20.0,2.0,,Eksterne grossister,-13.150000000000002
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,533034.0,4230.0,Rogaland,2146,5555094.0,5555095.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 09:00:00,2025-04-22 14:30:00,2025-04-22 14:07:16,2025-04-22 14:05:49,2025-04-22 14:45:38,0.0,27.25,39.81666666666667,11.148730883356556,3571.408,3.571408,0.0,0.0,0.0,2416.0322,1155.3758,0.0,1307.079,1.0,1.0,6.0,6.0,8.0,0.75,0.75,DIESEL,Ja,SD91206,,3.0,,Eksterne grossister,12.56666666666667
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,533034.0,4230.0,Rogaland,5146,5566290.0,5566291.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 07:00:00,2025-04-25 14:30:00,,2025-04-25 11:01:33,2025-04-25 11:15:10,0.0,24.5,13.616666666666667,3.955689690717357,3442.299,3.442299,0.0,0.0,0.0,1712.183,618.566,1111.55,1085.615,1.0,1.0,4.0,0.0,4.0,1.0,0.0,DIESEL,Ja,SD91206,-22.0,3.0,,Eksterne grossister,-10.883333333333333
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,548628.0,4021.0,Rogaland,2154,5555026.0,5555027.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 08:00:00,2025-04-22 12:00:00,2025-04-22 10:33:26,2025-04-22 10:32:09,2025-04-22 11:05:00,0.0,36.35,32.85,2.4628707059005794,13338.0936,13.3380936,0.0,0.0,0.0,4003.7598,2597.5678,6736.766,3679.933,1.0,1.0,15.0,15.0,15.0,1.0,1.0,GASS,Ja,GA13091,-18.0,3.0,,Eksterne grossister,-3.5
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,550889.0,4200.0,Rogaland,2137,5555118.0,5555119.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 11:00:00,2025-04-22 14:00:00,2025-04-22 11:15:35,2025-04-22 11:12:57,2025-04-22 11:41:53,0.0,34.0,28.933333333333334,4.521796617318967,6398.6366,6.3986366,0.0,0.0,0.0,4241.8156,780.627,1376.194,2282.853,1.0,1.0,10.0,10.0,11.0,0.9090909090909092,0.9090909090909092,DIESEL,Ja,SD94393,-24.0,2.0,,Eksterne grossister,-5.066666666666666
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,564591.0,4026.0,Rogaland,2157,5555116.0,5555117.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 08:00:00,2025-04-22 12:00:00,2025-04-22 10:42:14,2025-04-22 10:42:08,2025-04-22 11:02:40,0.0,26.633333333333333,20.53333333333333,4.749947935635615,4322.8544,4.3228544,0.0,0.0,0.0,1835.5216,812.8258,1674.507,1597.621,1.0,1.0,7.0,8.0,8.0,0.875,1.0,DIESEL,Ja,RL42131,-18.5,3.0,,Eksterne grossister,-6.100000000000001
